Name,Rank,Fire Department,Date of Death,Location on Memorial
David E. Smith ,Captain ,Howells Fire Company #1 ,04/11/2006,18 Bottom
David F. Murray,Firefighter,Hurleyville Fire Department,12/21/1984,12 Top
David F. Prior ,Lieutenant ,Elbridge Fire Department ,09/04/2006,20 Top
David G. Arce,Firefighter,New York City Fire Department,09/11/2001,14 Bottom
David G. Flynn,Firefighter,Canandaigua Fire Department,04/09/1978,  9 Top
"David Hadley, Sr.",Firefighter,Boston Fire Department,07/15/1978,  9 Top
"David Halderman, Jr. ",Lieutenant,New York City Fire Department,09/11/2001,17 Top
David J. Clapp,Firefighter,West Webster Fire Department,09/29/1986,11 Top
David J. Fontana,Lieutenant,New York City Fire Department,09/11/2001,18 Bottom
David J. LaForge,Firefighter,New York City Fire Department,09/11/2001,16 Top
David J. O’Keeffe,Firefighter,New York City Fire Department,05/02/1952,14 Top
